,DEPARTMENT,SECTION,LOCATION,DETAIL LOCATION,TANGGAL TERIMA BARANG,JENIS  MOBIL,BULAN ASET,TAHUN ASET,SPESIFIKASI,PIC LANGSUNG,HARGA BELI,MERK,TYPE,NOPOL,NOPOL LAMA,NO RANGKA,NO MESIN,TAHUN REGISTRASI,TAHUN PEMBUATAN,KETOGORI USIA,USIA,KEBERADAAN BPKB,NO BPKB,NAMA DI BPKB,ALAMAT BPKB,KEBERADAAN FAKTUR & SERTIFIKAT,NO FAKTUR,WARNA KABIN,WARNA BOX,WARNA PLAT,TIPE KAROSERI / BOX,PANJANG KAROSERI LUAR,LEBAR KAROSERI LUAR,TINGGI KAROSERI LUAR,KEBERADAAN PAJAK,NO PAJAK,NAMA PAJAK,ALAMAT PAJAK,STATUS STNK,NO STNK,NAMA STNK,ALAMAT STNK,VENDOR GPS,GPS,IMEI/SN,NO HP GPS,JENIS JARINGAN,PAJAK,STNK,BIAYA PAJAK,JATUH TEMPO PAJAK,JATUH TEMPO STNK,MONTH,NO KEUR,EXP KIR,JATUH TEMPO KIR,MONTH,STATUS KEUR,SO 1 JULI 25,KEY
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,,CDD STANDART,00,2003,,,,MITSUBISHI,FE 349,B 9668 VJ,,MHMFE349E3R054408,4D34-374412,,2003,16 Tahun Lebih,23,ADA,Q-00925137,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,000451/09/2003,MERAH,,PUTIH,BESI,460,200,270,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,869604067490499,85193965649,,08/09/2026,08/09/2028,Rp2.506.600,-192,-923,9,JKT594067,20/08/2026,-173,8,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,,CDD LONG,00,2012,,,,TOYOTA,FE74 S M/T,B 9356 PXR,,MHFC1JU43C5069237,W04DT-RJ70379,,2012,11-15 Tahun,14,ADA,K-06165809,PT. LESTARI JAYA RAYA,"JL. LETJEN SUPRAPTO NO.121 BLOK B4 CEMPAKA BARU, KEMAYORAN, JAKARTA PUSAT",ADA,JGF/00265/JU43/2012,MERAH,,KUNING,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. LETJEN SUPRAPTO NO.121 BLOK B4 CEMPAKA BARU, KEMAYORAN, JAKARTA PUSAT",,ADA - FULL SENSOR,864606048200108,08115969054C,,11/09/2026,11/09/2028,Rp690.400,-195,-926,9,JKT1337325,23/03/2026,-23,3,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,MAKASSAR,MAKASSAR,,CDD LONG,00,2012,,,,TOYOTA,DYNA 130 XT LONG,B 9357 PXR,,MHFC1JU43C5069860,W04DT-RJ70878,,2012,11-15 Tahun,14,ADA,K-06165810,PT. LESTARI JAYA RAYA,"JL. LETJEN SUPRAPTO NO.121 BLOK B4 CEMPAKA BARU, KEMAYORAN, JAKARTA PUSAT",ADA,JGF/00268/JU43/2012,MERAH,,KUNING,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. LETJEN SUPRAPTO NO.121 BLOK B4 CEMPAKA BARU, KEMAYORAN, JAKARTA PUSAT",,ADA - FULL SENSOR,868998036259931,08115971605C,,11/09/2026,11/09/2028,Rp690.400,-195,-926,9,JKT1337093,30/04/2026,-61,4,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,SEMARANG,SEMARANG,,CDD LONG,00,2012,,,,TOYOTA,DYNA 130 XT LONG,B 9354 PXR,,MHFC1JU43C5069688,W04DTRJ70750,,2012,11-15 Tahun,14,ADA,K-06165808,PT. LESTARI JAYA RAYA,"JL. LETJEN SUPRAPTO NO.121 BLOK B4 CEMPAKA BARU, KEMAYORAN, JAKARTA PUSAT",ADA,JGF/00267/JU43/2012,MERAH,,KUNING,BESI,559,210,212,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. LETJEN SUPRAPTO NO.121 BLOK B4 CEMPAKA BARU, KEMAYORAN, JAKARTA PUSAT",,ADA - FULL SENSOR,,,,11/09/2026,11/09/2028,Rp1.041.900,-195,-926,9,JKT1337326,12/06/2026,-104,6,RESMI,ok,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,SURABAYA,SURABAYA,,CDD LONG,00,2012,,,,TOYOTA,DYNA 130 XT LONG,B 9358 PXR,,MHFC1JU43C5070409,W04DT-RJ71246,,2012,11-15 Tahun,14,ADA,K-06165811,PT. LESTARI JAYA RAYA,"JL. LETJEN SUPRAPTO NO.121 BLOK B4 CEMPAKA BARU, KEMAYORAN, JAKARTA PUSAT",ADA,JGF/00266/JU43/2012,MERAH,,KUNING,BESI,560,210,215,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. LETJEN SUPRAPTO NO.121 BLOK B4 CEMPAKA BARU, KEMAYORAN, JAKARTA PUSAT",,ADA - FULL SENSOR,,,,11/09/2026,11/09/2028,Rp1.041.900,-195,-926,9,JKT1337092,30/06/2026,-122,6,RESMI,OK,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,MAKASSAR,MAKASSAR,,CDD LONG,00,2018,,,,MITSUBISHI,FE84 D (4X2) M/T,DD 8414 RH,,MHMFE84P8JK013302,4D34T-S59131,,2018,6-10 Tahun,8,ADA,O-01101610,PT. LESTARI JAYA RAYA SENTOSA,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,ADA,000581/0918/01,MERAH,,HITAM,,,,,,,,,,,PT. LESTARI JAYA RAYA SENTOSA,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,,ADA - FULL SENSOR,864606044188315,08115971842C,,17/09/2026,17/09/2028,Rp5.748.551,-201,-932,9,DE011041457,24/01/2026,35,1,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,MAKASSAR,MAKASSAR,,CDD LONG,00,2018,,,,MITSUBISHI,FE84 G (4X2) M/T,DD 8416 RH,,MHMFE84P8JK012583,4D34T-S27570,,2018,6-10 Tahun,8,ADA,O-01101611,PT. LESTARI JAYA RAYA SENTOSA,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,ADA,000579/0918/01,MERAH,,HITAM,,,,,,,,,,,PT. LESTARI JAYA RAYA SENTOSA,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,,ADA - FULL SENSOR,,,,17/09/2026,17/09/2028,Rp5.748.551,-201,-932,9,DE011040458,24/01/2026,35,1,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,MAKASSAR,MAKASSAR,,CDD LONG,00,2018,,,,MITSUBISHI,FE84 G (4X2) M/T,DD 8418 RH,,MHMFE84P8JK013320,4D34T-S58939,,2018,6-10 Tahun,8,ADA,O-01101613,PT. LESTARI JAYA RAYA SENTOSA,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,ADA,000582/0918/01,MERAH,,HITAM,,,,,,,,,,,PT. LESTARI JAYA RAYA SENTOSA,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,,ADA - FULL SENSOR,868998036259345,08115971843C,,17/09/2026,17/09/2028,Rp5.748.551,-201,-932,9,DE011040460,24/01/2026,35,1,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,MAKASSAR,MAKASSAR,,CDD LONG,00,2018,,,,MITSUBISHI,FE84 G (4X2) M/T,DD 8417 RH,,MHMFE84P8JK013168,4D34T-S46513,,2018,6-10 Tahun,8,ADA,O-01101612,PT. LESTARI JAYA RAYA SENTOSA,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,ADA,000580/0918/01,MERAH,,HITAM,,,,,,,,,,,PT. LESTARI JAYA RAYA SENTOSA,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,,ADA - FULL SENSOR,868998036268767,08115971817C,,17/09/2026,17/09/2028,Rp5.748.551,-201,-932,9,DE011040459,31/01/2026,28,1,RESMI,,FLEET
PT. LESTARI JAYA RAYA,CONTRACT LOGISTICS,CABANG,AAM-BANGKA BELITUNG,AAM-BALIKPAPAN,12/09/2023,MOTOR,10,2023,REVO 110CC,,,HONDA,NF11T11C01 MT,B 5085 TPH,,MH1JBK118PK956403,JBK1E1954001,2023,2023,2-3 Tahun,3,ADA,,PT LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,HITAM,,PUTIH,,,,,ADA,C1069400,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,10808438,PT. LESTARI JAYA RAYA ,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,TIDAK ADA,MOTOR,,,21/09/2026,21/09/2028,Rp267.000,-205,-936,9,,,,,,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,DENPASAR,DENPASAR,,CDD STANDART,03,2022,,,,MITSUBISHI,FE74 S M/T,B 9099 BCM,,MHMFE74P4DK070836,4D34T-J90537,,2013,11-15 Tahun,13,ADA,K-06204108,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",TIDAK ADA,013550/09/2013,MERAH,,PUTIH,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,861292052784551,085164373324C,,04/10/2026,04/10/2028,Rp4.069.000,-218,-949,10,JKT1344757,08/04/2026,-39,4,RESMI,,FLEET
PT. LESTARI JAYA RAYA,GENERAL AFFAIR,HEAD OFFICE,JAKARTA,JAKARTA,,MOTOR,00,2019,,IQBAL,,YAMAHA,28J,B 3908 TWU,,MH32BJ002DJ-250662,2BJ250678,,2013,11-15 Tahun,13,ADA,P-04034982,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",TIDAK ADA,06060/BJ/JB0014-1093,BIRU,,PUTIH,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,TIDAK ADA,MOTOR,,,04/10/2026,04/10/2028,Rp161.000,-218,-949,10,,,,,,,NON FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,YOGYAKARTA,YOGYAKARTA,,CDE STANDART,03,2022,,,,MITSUBISHI,FE71 M/T,B 9123 BCM,,MHMFE71P1JK044140,4D34T-J73395,,2013,11-15 Tahun,13,ADA,K-06204127,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",TIDAK ADA,012837/09/2013,MERAH,,PUTIH,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,,,04/10/2026,04/10/2028,Rp3.483.100,-218,-949,10,JKT1342022,30/06/2026,-122,6,RESMI,ok,FLEET
BPKB ADA - POSISI KENDARAAN TIDAK DIKETAHUI,BELUM DI KETAHUI,BELUM DI KETAHUI,BELUM DI KETAHUI,BELUM DI KETAHUI,,,00,0000,,,,MITSUBISHI,FM 517,DD 9958 B,,FM517H-036492,6D16C-557716,,1995,16 Tahun Lebih,31,ADA,A-3368172,H. M. SANUSI,JL. SUNU NO.25 UJUNG PANDANG,ADA,002782/95/GH,COKLAT,,HITAM,,,,,,,,,,,H. M. SANUSI,JL. SUNU NO.25 UJUNG PANDANG,,TIDAK ADA,,,,,,,,,,,,,,,,NON FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,DENPASAR,DENPASAR,,BLIND VAN,07,2017,,,,SUZUKI,GC 415 V (4X2) M/T,B 9066 PCM,,MHYGDN41VHJ402340,G15AID-393681,,2017,6-10 Tahun,9,ADA,N-02282747,PT. LESTARI JAYA RAYA,JL. LETJEN SUPRAPTO NO.121 BLOK B3 RT01 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,ADA,R4864953,PUTIH,,HITAM,,,,,,,,,,,PT. LESTARI JAYA RAYA,JL. LETJEN SUPRAPTO NO.121 BLOK B3 RT01 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,TIDAK ADA,,,,03/05/2026,03/05/2027,Rp2.052.600,-64,-429,5,JKT1713198,02/06/2026,-94,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,,PICK UP BOX,12,2018,,,,SUZUKI,GC415T (4X2) M/T,B 9976 PCN,,MHYGDN41TJJ410477,G15AID420851,,2018,6-10 Tahun,8,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,PUTIH,,PUTIH,ALUMUNIUM,2560,1650,1750,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - BIASA,,,,12/10/2026,12/10/2028,Rp2.595.100,-226,-957,10,JKT1828855,14/02/2026,14,2,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,BANDUNG,BANDUNG,,CDE STANDART,03,2022,,,,MITSUBISHI,FE71 M/T,B 9276 DJ,,MHMFE71P18K008797,4D34T-D84427,,2008,16 Tahun Lebih,18,ADA,F-5368872,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",TIDAK ADA,007766/09/2008,MERAH,,PUTIH,ALUMUNIUM,3060,1780,1990,PROSES PERPANJANG,,,,PROSES PERPANJANG,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,861292052770279,085153264701C,,16/10/2026,16/10/2028,Rp2.701.900,-230,-961,10,JKT1728036,14/04/2026,-45,4,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,,CDD STANDART,00,2008,,,,MITSUBISHI,FE73 MT,B 9297 MS,,MHMFE73P28K009098,4D34T-D98495,,2008,16 Tahun Lebih,18,ADA,O-04223723,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,002476/10/2009,MERAH,,PUTIH,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,864606044185493,08115939740C,,17/10/2026,17/10/2028,Rp2.853.800,-231,-962,10,JKT726700,15/04/2026,-46,4,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,,CDD STANDART,00,2008,,,,MITSUBISHI,FE73 MT,B 9314 MS,,MHMFE73P28K009099,4D34TD98491,,2008,16 Tahun Lebih,18,ADA,L-04635537,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",TIDAK ADA,002475/10/2008,KUNING,,PUTIH,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,864606044181807,08115971700C,,17/10/2026,17/10/2028,Rp2.853.800,-231,-962,10,JKT727209,15/03/2026,-15,3,RESMI,,FLEET
PT. LESTARI JAYA RAYA,CONTRACT LOGISTICS,CABANG,AAM-BANGKA BELITUNG,AAM-BANGKA BELITUNG,16/11/2023,PICK UP BOX,11,2023,CARRY TAYO BOX,,,SUZUKI,AEV415PCL TYPE 2 (4X2) M/T,B 9448 TXW,,MHYHDC61TPJ239841,K15BT1557369,2023,2023,2-3 Tahun,3,LEASING,,PT LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,PUTIH SILVER,,KUNING,,,,,,,,,,,,,,ADA - FULL SENSOR,869604067428838,085193222679,2G/3G,19/10/2026,19/10/2028,Rp562.900,-233,-964,10,JKT2327099,11/03/2026,-11,3,RESMI,,FLEET
PT. LESTARI JAYA RAYA,CONTRACT LOGISTICS,CABANG,AAM-BEKASI,AAM-BEKASI,16/11/2023,PICK UP BOX,11,2023,CARRY TAYO BOX,,,SUZUKI,AEV415PCL TYPE 2 (4X2) M/T,B 9447 TXW,,MHYHDC61TPJ237024,K15BT1550726,2023,2023,2-3 Tahun,3,LEASING,,PT LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,PUTIH SILVER,,KUNING,,,,,,,,,,,,,,ADA - FULL SENSOR,869604067440759,085193222681,2G/3G,19/10/2026,19/10/2028,Rp562.900,-233,-964,10,JKT2327097,27/05/2026,-88,5,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,MAKASSAR,MAKASSAR,16/11/2023,PICK UP BOX,11,2023,CARRY TAYO BOX,,,SUZUKI,AEV415PCL 24X2MT,B 9449 TXW,,MHYHDC61TPJ239164,K15BT1555665,2023,2023,2-3 Tahun,3,LEASING,,PT LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,PUTIH SILVER,,KUNING,,,,,,,,,,,,,,ADA - FULL SENSOR,869604067488915,085193222678,2G/3G,19/10/2026,19/10/2028,Rp562.900,-233,-964,10,JKT2327096,20/05/2026,-81,5,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,BALIKPAPAN,BALIKPAPAN,16/11/2023,CDD LONG,11,2023,DYNA 136 HDL EURO 4,,,HINO,XZU359R-HKFTB8,B 9507 TXW,,MJEECB2F5P5002855,N04CWYJ24757,2023,2023,2-3 Tahun,3,LEASING,,PT LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,MERAH,,KUNING,,,,,,,,,,,,,PALAPA,ADA - FULL SENSOR,861292052813392,085192581300,2G/3G,07/11/2026,07/11/2028,Rp853.300,-252,-983,11,JKT2327395,19/05/2026,-80,5,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,BALIKPAPAN,BALIKPAPAN,27/10/2023,CDD LONG,11,2023,DYNA 136 HDL EURO 4,,,HINO,XZU359R-HKFTBD8,B 9508 TXW,,MJEECB2FXP5002673,N04CWYJ23624,2023,2023,2-3 Tahun,3,LEASING,,PT LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,MERAH,,KUNING,,,,,ADA,2288778,PT. LESTARI JAYA RAYA ,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,,PT. LESTARI JAYA RAYA ,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",PALAPA,ADA - FULL SENSOR,869604067431618,085193222682,2G/3G,07/11/2026,07/11/2028,Rp853.300,-252,-983,11,JKT2327074,04/06/2026,-96,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,BALIKPAPAN,BALIKPAPAN,16/11/2023,CDD LONG,11,2023,DYNA 136 HDL EURO 4,,,HINO,XZU359R-HKFTB8,B 9509 TXW,,MJEECB2F0P5002858,N04CWYJ24760,2023,2023,2-3 Tahun,3,LEASING,,PT LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,MERAH,,KUNING,,,,,,,,,,,,,PALAPA,ADA - FULL SENSOR,86129053282605,085192581284,2G/3G,07/11/2025,07/11/2028,Rp853.300,113,-983,11,JKT2327394,04/06/2026,-96,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,BALIKPAPAN,BALIKPAPAN,21/11/2023,CDD LONG,11,2023,DYNA 136 HDL EURO 4,,,HINO,XZU359R-HKFTB8,B 9540 TXW,,MJEECB2F9P5003068,N04CWYJ26649,2023,2023,2-3 Tahun,3,LEASING,,PT LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,MERAH,,KUNING,,,,,,,,,,,,,PALAPA,ADA - FULL SENSOR,861292052905271,085192581310,2G/3G,21/11/2026,21/11/2028,Rp961.000,-266,-997,11,JKT2328626,04/06/2026,-96,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,BALIKPAPAN,BALIKPAPAN,21/11/2023,CDD LONG,11,2023,DYNA 136 HDL EURO 4,,,HINO,XZU359R-HKFTB8,B 9542 TXW,,MJEECB2FXP5003080,N04CWYJ26741,2023,2023,2-3 Tahun,3,ADA,U-03947139,PT LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,MERAH,,KUNING,,,,,,,,,,,,,PALAPA,ADA - FULL SENSOR,869604067419449,0851932222691,2G/3G,21/11/2026,21/11/2028,Rp961.000,-266,-997,11,JKT2328097,04/06/2026,-96,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,BALIKPAPAN,BALIKPAPAN,27/11/2023,CDD LONG,11,2023,DYNA 136 HDL EURO 4,,,HINO,XZU359R-HKFTB8,B 9543 TXW,,MJEECB2F8P5003076,N04CWYJ26732,2023,2023,2-3 Tahun,3,LEASING,,PT LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,MERAH,,KUNING,,,,,,,,,,,,,,ADA - FULL SENSOR,,,,21/11/2026,21/11/2028,Rp961.000,-266,-997,11,JKT2328627,08/06/2026,-100,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,BALIKPAPAN,DENPASAR,21/11/2023,CDD LONG,11,2023,DYNA 136 HDL EURO 4,,,HINO,XZU359R-HKFTBD8,B 9541 TXW,,MJEECB2FXP5003077,N04CWYJ26733,2023,2023,2-3 Tahun,3,LEASING,,PT LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,MERAH,,KUNING,,,,,,,,,,,,,PALAPA,ADA - FULL SENSOR,861292052813814,0815192581312,2G/3G,21/11/2025,21/11/2028,Rp853.300,99,-997,11,JKT2328098,05/06/2026,-97,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,29/11/2023,FUSO,11,2023,HINO 260 JS EURO 4,,,HINO,FG8JS2A-PGJ 4X2 MT,B 9544 TXW,,MJEFG8JS2PJP10790,J08EWEJ16588,2023,2023,2-3 Tahun,3,LEASING,,PT LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,MERAH,,KUNING,,,,,,,,,ADA,,,,,ADA - FULL SENSOR,869604067439835,085193222687,A300/A500,21/11/2025,21/11/2028,Rp2.527.000,99,-997,11,JKT2329349,06/04/2026,-37,4,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,PALEMBANG,PALEMBANG,28/11/2023,CDD LONG,11,2023,DYNA 136 HDL EURO 4,,,HINO,XZU359R-HKFTBD8,B 9545 TXW,,MJEECB2F6P5003058,N04CWY26644,2023,2023,2-3 Tahun,3,LEASING,,PT LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,MERAH,,KUNING,,,,,,,,,ADA,,,,,ADA - FULL SENSOR,861292052813376,085192581301,A300/A500,21/11/2026,21/11/2028,Rp1.313.500,-266,-997,11,JKT2329344,02/06/2026,-94,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,MAKASSAR,SENGKANG,,MOTOR,00,2019,,PAK FEDDY,,HONDA,NF11T11C01 M/T,DD 6913 QQ,,MHY1JBK111JK558750,JBK1E1555446,2023,2018,6-10 Tahun,8,TIDAK ADA,P00167625R,U FEDY JUANDA,JL. GUNUNG TINGGI MAE NO. 30 C,,,,,HITAM,ALUMUNIUM,32,15,31,ADA,,,,ADA,,U FEDY JUANDA,JL. GUNUNG TINGGI MAE NO. 30 C,,TIDAK ADA,MOTOR,,,21/11/2026,21/11/2028,Rp192.700,-266,-997,11,,,,,,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,DENPASAR,DENPASAR,,CDE STANDART,03,2022,,,,MITSUBISHI,FE71,B 9337 TRO,DK 8018 BE,MHMFE71P1JK062925,4D34TS64370,,2018,6-10 Tahun,8,ADA,,PT LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,KUNING PUTIH,,PUTIH,#N/A,#N/A,#N/A,#N/A,#N/A,,,,#N/A,,PT LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,862273048243042,085153344357C,,24/11/2026,24/11/2028,Rp6.091.000,-269,-1.000,11,DPR.89562K,15/11/2023,836,11,BODONG,,FLEET
